"PassengerId","Survived"
892,1
893,1
894,1
895,1
896,2
897,1
898,2
899,1
900,2
901,1
902,1
903,1
904,2
905,1
906,2
907,2
908,1
909,1
910,2
911,1
912,1
913,1
914,2
915,1
916,2
917,1
918,2
919,1
920,1
921,1
922,1
923,1
924,2
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,2
936,2
937,1
938,1
939,1
940,2
941,2
942,1
943,1
944,2
945,2
946,1
947,1
948,1
949,1
950,1
951,2
952,1
953,1
954,1
955,2
956,2
957,2
958,2
959,1
960,1
961,2
962,2
963,1
964,2
965,1
966,2
967,1
968,1
969,2
970,1
971,2
972,2
973,1
974,1
975,1
976,1
977,1
978,2
979,2
980,2
981,2
982,2
983,1
984,2
985,1
986,1
987,1
988,2
989,1
990,2
991,1
992,2
993,1
994,1
995,1
996,2
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,2
1004,2
1005,2
1006,2
1007,1
1008,1
1009,2
1010,1
1011,2
1012,2
1013,1
1014,2
1015,1
1016,1
1017,1
1018,1
1019,2
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,2
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,2
1043,1
1044,2
1045,1
1046,1
1047,2
1048,2
1049,1
1050,2
1051,2
1052,1
1053,2
1054,1
1055,1
1056,2
1057,1
1058,1
1059,2
1060,2
1061,1
1062,1
1063,1
1064,1
1065,1
1066,2
1067,2
1068,1
1069,2
1070,2
1071,1
1072,1
1073,2
1074,1
1075,2
1076,1
1077,2
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,2
1086,1
1087,2
1088,2
1089,1
1090,1
1091,2
1092,2
1093,1
1094,2
1095,1
1096,1
1097,1
1098,1
1099,2
1100,1
1101,1
1102,1
1103,1
1104,2
1105,1
1106,1
1107,2
1108,1
1109,2
1110,1
1111,2
1112,1
1113,2
1114,1
1115,2
1116,1
1117,1
1118,2
1119,1
1120,1
1121,1
1122,2
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,2
1130,2
1131,2
1132,2
1133,1
1134,1
1135,1
1136,1
1137,2
1138,1
1139,2
1140,1
1141,2
1142,1
1143,2
1144,1
1145,1
1146,1
1147,1
1148,1
1149,2
1150,1
1151,1
1152,1
1153,2
1154,2
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,2
1163,2
1164,1
1165,2
1166,1
1167,1
1168,1
1169,1
1170,1
1171,2
1172,2
1173,1
1174,2
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1181,2
1182,1
1183,1
1184,1
1185,1
1186,2
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,2
1195,2
1196,1
1197,2
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,2
1205,2
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,2
1214,2
1215,1
1216,2
1217,1
1218,1
1219,1
1220,2
1221,1
1222,1
1223,2
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,2
1234,1
1235,2
1236,1
1237,1
1238,1
1239,2
1240,2
1241,1
1242,1
1243,1
1244,2
1245,1
1246,2
1247,1
1248,1
1249,2
1250,1
1251,2
1252,2
1253,1
1254,2
1255,1
1256,1
1257,1
1258,2
1259,1
1260,1
1261,2
1262,1
1263,2
1264,2
1265,1
1266,1
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,2
1275,1
1276,1
1277,1
1278,1
1279,1
1280,2
1281,1
1282,1
1283,1
1284,2
1285,1
1286,2
1287,1
1288,1
1289,2
1290,1
1291,2
1292,1
1293,1
1294,1
1295,1
1296,1
1297,2
1298,2
1299,2
1300,2
1301,2
1302,1
1303,2
1304,1
1305,1
1306,1
1307,1
1308,1
1309,1
